title,flavor,expansion,jumpprep,cylonactivate,choiceplayer,choice1,choice2
"Riots","Don’t be so sure, Commander. Rebellions are contagious. People are already rioting over the water crisis. We can’t afford to destabilize this government right now. — Laura Roslin","0","1","3","3","-1 food, -1 morale","-1 population, -1 fuel"
"Riots","Don’t be so sure, Commander. Rebellions are contagious. People are already rioting over the water crisis. We can’t afford to destabilize this government right now. — Laura Roslin","0","0","4","3","-1 food, -1 morale","-1 population, -1 fuel"
"Build Cylon Detector","Commander, the truth is…there is one way. I didn’t want to have to ask you for this, but what I really need to complete the project…is a nuclear warhead. — Gaius Baltar","0","0","2","3","Discard 1 nuke token. If you do not have any nuke tokens, you may not choose this option.","-1 morale, and the Admiral discards 2 Skill Cards."
"Rescue Caprica Survivors","The Cylons have a plan for Caprica. But they haven’t killed everyone. I think our first order of business has to be planning a rescue mission back to Caprica. — Kara Thrace","0","1","1","2","-1 fuel, -1 food, +1 population","-1 morale"
"Widespread Starvation","There is no food here. There are no rations anywhere on this ship. if someone told you there was food, they were lying! — Anastasia “Dee” Dualla","2","1","1","2","-2 food","-1 food, -1 population"
"Training a Rookie","Go lock in and do what you’ve been trained to do. — Sharon “Athena” Agathon","2","0","4","4","Activate one unmaneed viper. Then raiders activate","The CAG chooses 2 vipers that are not currently damaged or destroyed and moves them to the “Damaged Viper” box."
"Tracked by Radiation","In the last battle, we discovered your fuel ship…had a unique radiation signature. They must have found a way to track it. — Caprica Six","2","0","3","4","Place a basestar and 3 raiders in front of Galactica and 2 civilian ships behind Galactica.","-1 fuel"
"Rescue the Fleet","The Cylons are waiting for us back there. How long will that take to calculate once we get back there? — Saul Tigh\nTwelve hours. — Felix Gaeta","0","1","1","3","-2 population","-1 morale. Place 1 basestar and 3 raiders in front of Galactica and 3 civilian ships behind it."
"Truth and Reconciliation","We are all victims of the Cylons and none of us can be impartial. — Laura Roslin","2","1","3","2","-1 morale and the President must choose a character to send to the “Brig.”","The President discards 2 Skill Cards; then the current player discards 3 Skill Cards."
"Interrogation","You know, none of us are enjoying this. So, why don’t you just tell me what I need to know, and your uffering will come to an end. — Laura Roslin","2","0","3","3","The Admiral chooses another player to send to “Sickbay.” The Admiral may then look at 1 of that character’s Loyalty Cards at random.","The Admiral discards 2 Skill Cards; then the current player discards 3 Skill Cards."
